y rho
0 0.00011505
0.001 0.000115
0.003 0.000115
0.005 0.000115
0.007 0.000115
0.009 0.000115
0.011 0.000115
0.013 0.000115
0.015 0.000115
0.017 0.000115
0.019 0.000115
0.021 0.000115
0.023 0.000115
0.025 0.000115
0.027 0.000115
0.029 0.000115
0.031 0.000115
0.033 0.000115
0.035 0.000115
0.037 0.000115
0.039 0.000115
0.041 0.000115
0.043 0.000115
0.045 0.000115
0.047 0.000115
0.049 0.000115
0.051 0.000115
0.053 0.000115
0.055 0.000115
0.057 0.000115
0.059 0.000115
0.061 0.000115
0.063 0.000115
0.065 0.000115
0.067 0.000115
0.069 0.000115
0.071 0.000115
0.073 0.000115
0.075 0.000115
0.077 0.000115
0.079 0.000115
0.081 0.000115
0.083 0.000115
0.085 0.000115
0.087 0.000115
0.089 0.000115
0.091 0.000115
0.093 0.000115
0.095 0.000115
0.097 0.000115
0.099 0.000115
0.101 0.000115
0.103 0.000115
0.105 0.000115
0.107 0.000115
0.109 0.000115
0.111 0.000115
0.113 0.000115
0.115 0.000115
0.117 0.000115
0.119 0.000115
0.121 0.000115
0.123 0.000115
0.125 0.000115
0.127 0.000115
0.129 0.000115
0.131 0.000115
0.133 0.000115
0.135 0.000115
0.137 0.000115
0.139 0.000115
0.141 0.000115
0.143 0.000115
0.145 0.000115
0.147 0.000115
0.149 0.000115
0.151 0.000115
0.153 0.000115
0.155 0.000115
0.157 0.000115
0.159 0.000115
0.161 0.000115
0.163 0.000115
0.165 0.000115
0.167 0.000115
0.169 0.000115
0.171 0.000115
0.173 0.000115
0.175 0.000115
0.177 0.000115
0.179 0.000115
0.181 0.000115
0.183 0.000115
0.185 0.000115
0.187 0.000115
0.189 0.000115
0.191 0.000115
0.193 0.000115
0.195 0.000115
0.197 0.000115
0.199 0.000115
0.201 0.000115
0.203 0.000115
0.205 0.000115
0.207 0.000115
0.209 0.000115
0.211 0.000115
0.213 0.000115
0.215 0.000115
0.217 0.000115
0.219 0.000115
0.221 0.000115
0.223 0.000115
0.225 0.000115
0.227 0.000115
0.229 0.000115
0.231 0.000115
0.233 0.000115
0.235 0.000115
0.237 0.000115
0.239 0.000115
0.241 0.000115
0.243 0.000115
0.245 0.000115
0.247 0.000115
0.249 0.000115
0.251 0.000115
0.253 0.000115
0.255 0.000115
0.257 0.000115
0.259 0.000115
0.261 0.000115
0.263 0.000115
0.265 0.000115
0.267 0.000115
0.269 0.000115
0.271 0.000115
0.273 0.000115
0.275 0.000115
0.277 0.000115
0.279 0.000115
