y p
0 6.53571
0.001 6.53571
0.003 6.5385
0.005 6.54129
0.007 6.54406
0.009 6.54682
0.011 6.54956
0.013 6.55231
0.015 6.55502
0.017 6.55774
0.019 6.56043
0.021 6.56313
0.023 6.5658
0.025 6.56847
0.027 6.57111
0.029 6.57376
0.031 6.57638
0.033 6.57901
0.035 6.5816
0.037 6.5842
0.039 6.58678
0.041 6.58935
0.043 6.5919
0.045 6.59445
0.047 6.59698
0.049 6.59951
0.051 6.60201
0.053 6.60452
0.055 6.607
0.057 6.60948
0.059 6.61194
0.061 6.61439
0.063 6.61683
0.065 6.61926
0.067 6.62167
0.069 6.62408
0.071 6.62647
0.073 6.62885
0.075 6.63122
0.077 6.63358
0.079 6.63592
0.081 6.63826
0.083 6.64058
0.085 6.64289
0.087 6.64519
0.089 6.64748
0.091 6.64975
0.093 6.65202
0.095 6.65427
0.097 6.65652
0.099 6.65874
0.101 6.66096
0.103 6.66316
0.105 6.66536
0.107 6.66754
0.109 6.66972
0.111 6.67187
0.113 6.67403
0.115 6.67616
0.117 6.67829
0.119 6.6804
0.121 6.68251
0.123 6.68459
0.125 6.68668
0.127 6.68874
0.129 6.6908
0.131 6.69284
0.133 6.69488
0.135 6.6969
0.137 6.69892
0.139 6.70091
0.141 6.7029
0.143 6.70487
0.145 6.70684
0.147 6.70879
0.149 6.71074
0.151 6.71267
0.153 6.71459
0.155 6.71649
0.157 6.7184
0.159 6.72028
0.161 6.72216
0.163 6.72401
0.165 6.72587
0.167 6.7277
0.169 6.72954
0.171 6.73135
0.173 6.73316
0.175 6.73495
0.177 6.73674
0.179 6.7385
0.181 6.74027
0.183 6.74201
0.185 6.74376
0.187 6.74548
0.189 6.7472
0.191 6.7489
0.193 6.7506
0.195 6.75227
0.197 6.75395
0.199 6.7556
0.201 6.75726
0.203 6.75889
0.205 6.76052
0.207 6.76213
0.209 6.76374
0.211 6.76532
0.213 6.76691
0.215 6.76847
0.217 6.77003
0.219 6.77158
0.221 6.77312
0.223 6.77464
0.225 6.77615
0.227 6.77765
0.229 6.77915
0.231 6.78062
0.233 6.7821
0.235 6.78355
0.237 6.785
0.239 6.78643
0.241 6.78786
0.243 6.78927
0.245 6.79067
0.247 6.79206
0.249 6.79344
0.251 6.7948
0.253 6.79617
0.255 6.79751
0.257 6.79885
0.259 6.80017
0.261 6.80149
0.263 6.80278
0.265 6.80408
0.267 6.80535
0.269 6.80662
0.271 6.80788
0.273 6.80913
0.275 6.81036
0.277 6.81159
0.279 6.81279
0.281 6.814
0.283 6.81519
0.285 6.81637
0.287 6.81754
0.289 6.8187
0.291 6.81984
0.293 6.82098
0.295 6.8221
0.297 6.82322
0.299 6.82432
0.301 6.82541
0.303 6.82649
0.305 6.82756
0.307 6.82861
0.309 6.82967
0.311 6.8307
0.313 6.83173
0.315 6.83274
0.317 6.83375
0.319 6.83473
0.321 6.83572
0.323 6.83669
0.325 6.83765
0.327 6.83859
0.329 6.83954
0.331 6.84046
0.333 6.84138
0.335 6.84228
0.337 6.84318
0.339 6.84405
0.341 6.84493
0.343 6.84578
0.345 6.84664
0.347 6.84747
0.349 6.84831
0.351 6.84912
0.353 6.84993
0.355 6.85072
0.357 6.85151
0.359 6.85227
0.361 6.85304
0.363 6.85379
0.365 6.85453
0.367 6.85526
0.369 6.85598
0.371 6.85668
0.373 6.85739
0.375 6.85807
0.377 6.85875
0.379 6.8594
0.381 6.86006
0.383 6.8607
0.385 6.86133
0.387 6.86195
0.389 6.86256
0.391 6.86316
0.393 6.86375
0.395 6.86432
0.397 6.86489
0.399 6.86544
0.401 6.86599
0.403 6.86652
0.405 6.86704
0.407 6.86755
0.409 6.86806
0.411 6.86854
0.413 6.86902
0.415 6.86949
0.417 6.86995
0.419 6.87039
0.421 6.87083
0.423 6.87125
0.425 6.87167
0.427 6.87206
0.429 6.87246
0.431 6.87283
0.433 6.87321
0.435 6.87356
0.437 6.87392
0.439 6.87425
0.441 6.87458
0.443 6.87489
0.445 6.8752
0.447 6.87549
0.449 6.87577
0.451 6.87604
0.453 6.87631
0.455 6.87655
0.457 6.8768
0.459 6.87702
0.461 6.87724
0.463 6.87744
0.465 6.87764
0.467 6.87782
0.469 6.878
0.471 6.87816
0.473 6.87832
0.475 6.87845
0.477 6.87859
0.479 6.8787
0.481 6.87882
0.483 6.87891
0.485 6.879
0.487 6.87907
0.489 6.87915
0.491 6.87919
0.493 6.87924
0.495 6.87927
0.497 6.8793
0.499 6.8793
0.501 6.87931
0.503 6.87929
0.505 6.87928
0.507 6.87924
0.509 6.8792
0.511 6.87914
0.513 6.87908
0.515 6.879
0.517 6.87892
0.519 6.87882
0.521 6.87872
0.523 6.87859
0.525 6.87847
0.527 6.87832
0.529 6.87817
0.531 6.87801
0.533 6.87784
0.535 6.87765
0.537 6.87746
0.539 6.87725
0.541 6.87704
0.543 6.8768
0.545 6.87657
0.547 6.87632
0.549 6.87606
0.551 6.87578
0.553 6.87551
0.555 6.87521
0.557 6.87491
0.559 6.87459
0.561 6.87427
0.563 6.87393
0.565 6.87359
0.567 6.87322
0.569 6.87286
0.571 6.87247
0.573 6.87209
0.575 6.87168
0.577 6.87127
0.579 6.87085
0.581 6.87042
0.583 6.86997
0.585 6.86952
0.587 6.86904
0.589 6.86857
0.591 6.86808
0.593 6.86758
0.595 6.86707
0.597 6.86655
0.599 6.86601
0.601 6.86548
0.603 6.86492
0.605 6.86436
0.607 6.86377
0.609 6.86319
0.611 6.86259
0.613 6.86199
0.615 6.86136
0.617 6.86074
0.619 6.86009
0.621 6.85944
0.623 6.85878
0.625 6.85811
0.627 6.85742
0.629 6.85673
0.631 6.85601
0.633 6.8553
0.635 6.85457
0.637 6.85383
0.639 6.85308
0.641 6.85232
0.643 6.85154
0.645 6.85076
0.647 6.84996
0.649 6.84916
0.651 6.84834
0.653 6.84752
0.655 6.84668
0.657 6.84583
0.659 6.84497
0.661 6.8441
0.663 6.84321
0.665 6.84233
0.667 6.84142
0.669 6.84051
0.671 6.83958
0.673 6.83864
0.675 6.83769
0.677 6.83674
0.679 6.83576
0.681 6.83479
0.683 6.83379
0.685 6.83279
0.687 6.83177
0.689 6.83075
0.691 6.82971
0.693 6.82867
0.695 6.82761
0.697 6.82654
0.699 6.82546
0.701 6.82437
0.703 6.82326
0.705 6.82216
0.707 6.82103
0.709 6.8199
0.711 6.81875
0.713 6.81759
0.715 6.81642
0.717 6.81525
0.719 6.81405
0.721 6.81285
0.723 6.81164
0.725 6.81042
0.727 6.80918
0.729 6.80794
0.731 6.80667
0.733 6.80541
0.735 6.80413
0.737 6.80284
0.739 6.80154
0.741 6.80023
0.743 6.7989
0.745 6.79757
0.747 6.79622
0.749 6.79487
0.751 6.79349
0.753 6.79212
0.755 6.79072
0.757 6.78933
0.759 6.78791
0.761 6.78649
0.763 6.78505
0.765 6.78361
0.767 6.78215
0.769 6.78068
0.771 6.7792
0.773 6.77771
0.775 6.77621
0.777 6.7747
0.779 6.77317
0.781 6.77164
0.783 6.77009
0.785 6.76853
0.787 6.76696
0.789 6.76538
0.791 6.76379
0.793 6.76219
0.795 6.76057
