y T
0 273
0.001 273.059
0.003 273.175
0.005 273.292
0.007 273.407
0.009 273.523
0.011 273.637
0.013 273.752
0.015 273.866
0.017 273.979
0.019 274.092
0.021 274.204
0.023 274.316
0.025 274.427
0.027 274.538
0.029 274.648
0.031 274.758
0.033 274.868
0.035 274.976
0.037 275.085
0.039 275.192
0.041 275.3
0.043 275.406
0.045 275.513
0.047 275.619
0.049 275.724
0.051 275.829
0.053 275.933
0.055 276.037
0.057 276.141
0.059 276.243
0.061 276.346
0.063 276.448
0.065 276.549
0.067 276.65
0.069 276.751
0.071 276.85
0.073 276.95
0.075 277.049
0.077 277.148
0.079 277.245
0.081 277.343
0.083 277.44
0.085 277.537
0.087 277.633
0.089 277.728
0.091 277.823
0.093 277.918
0.095 278.012
0.097 278.106
0.099 278.199
0.101 278.292
0.103 278.384
0.105 278.476
0.107 278.567
0.109 278.657
0.111 278.747
0.113 278.838
0.115 278.927
0.117 279.016
0.119 279.104
0.121 279.192
0.123 279.279
0.125 279.366
0.127 279.452
0.129 279.538
0.131 279.624
0.133 279.709
0.135 279.793
0.137 279.877
0.139 279.961
0.141 280.044
0.143 280.126
0.145 280.209
0.147 280.29
0.149 280.371
0.151 280.452
0.153 280.532
0.155 280.612
0.157 280.691
0.159 280.77
0.161 280.848
0.163 280.926
0.165 281.003
0.167 281.08
0.169 281.157
0.171 281.232
0.173 281.308
0.175 281.383
0.177 281.458
0.179 281.531
0.181 281.605
0.183 281.678
0.185 281.751
0.187 281.823
0.189 281.895
0.191 281.966
0.193 282.037
0.195 282.107
0.197 282.177
0.199 282.246
0.201 282.315
0.203 282.383
0.205 282.451
0.207 282.518
0.209 282.585
0.211 282.652
0.213 282.718
0.215 282.783
0.217 282.849
0.219 282.913
0.221 282.977
0.223 283.041
0.225 283.104
0.227 283.167
0.229 283.229
0.231 283.291
0.233 283.353
0.235 283.413
0.237 283.474
0.239 283.534
0.241 283.593
0.243 283.652
0.245 283.711
0.247 283.769
0.249 283.827
0.251 283.884
0.253 283.94
0.255 283.996
0.257 284.052
0.259 284.108
0.261 284.163
0.263 284.217
0.265 284.271
0.267 284.324
0.269 284.377
0.271 284.43
0.273 284.482
0.275 284.533
0.277 284.585
0.279 284.635
0.281 284.686
0.283 284.735
0.285 284.785
0.287 284.833
0.289 284.882
0.291 284.929
0.293 284.977
0.295 285.024
0.297 285.071
0.299 285.116
0.301 285.162
0.303 285.207
0.305 285.252
0.307 285.296
0.309 285.34
0.311 285.383
0.313 285.426
0.315 285.468
0.317 285.51
0.319 285.552
0.321 285.593
0.323 285.633
0.325 285.674
0.327 285.713
0.329 285.752
0.331 285.791
0.333 285.829
0.335 285.867
0.337 285.904
0.339 285.941
0.341 285.978
0.343 286.013
0.345 286.049
0.347 286.084
0.349 286.119
0.351 286.153
0.353 286.187
0.355 286.22
0.357 286.253
0.359 286.285
0.361 286.317
0.363 286.348
0.365 286.379
0.367 286.409
0.369 286.439
0.371 286.469
0.373 286.498
0.375 286.526
0.377 286.555
0.379 286.582
0.381 286.61
0.383 286.636
0.385 286.663
0.387 286.689
0.389 286.714
0.391 286.739
0.393 286.764
0.395 286.788
0.397 286.812
0.399 286.835
0.401 286.858
0.403 286.88
0.405 286.902
0.407 286.923
0.409 286.944
0.411 286.964
0.413 286.984
0.415 287.004
0.417 287.023
0.419 287.041
0.421 287.06
0.423 287.077
0.425 287.095
0.427 287.111
0.429 287.128
0.431 287.143
0.433 287.159
0.435 287.174
0.437 287.189
0.439 287.203
0.441 287.216
0.443 287.229
0.445 287.242
0.447 287.254
0.449 287.266
0.451 287.277
0.453 287.289
0.455 287.299
0.457 287.309
0.459 287.318
0.461 287.328
0.463 287.336
0.465 287.344
0.467 287.352
0.469 287.359
0.471 287.366
0.473 287.373
0.475 287.378
0.477 287.384
0.479 287.389
0.481 287.394
0.483 287.397
0.485 287.401
0.487 287.404
0.489 287.407
0.491 287.409
0.493 287.411
0.495 287.412
0.497 287.414
0.499 287.414
0.501 287.414
0.503 287.413
0.505 287.413
0.507 287.411
0.509 287.41
0.511 287.407
0.513 287.405
0.515 287.401
0.517 287.398
0.519 287.394
0.521 287.389
0.523 287.384
0.525 287.379
0.527 287.373
0.529 287.367
0.531 287.36
0.533 287.353
0.535 287.345
0.537 287.337
0.539 287.328
0.541 287.319
0.543 287.309
0.545 287.3
0.547 287.289
0.549 287.278
0.551 287.267
0.553 287.255
0.555 287.243
0.557 287.23
0.559 287.217
0.561 287.204
0.563 287.189
0.565 287.175
0.567 287.16
0.569 287.145
0.571 287.128
0.573 287.112
0.575 287.095
0.577 287.078
0.579 287.06
0.581 287.043
0.583 287.024
0.585 287.005
0.587 286.985
0.589 286.965
0.591 286.945
0.593 286.924
0.595 286.903
0.597 286.881
0.599 286.859
0.601 286.836
0.603 286.813
0.605 286.789
0.607 286.765
0.609 286.741
0.611 286.716
0.613 286.69
0.615 286.664
0.617 286.638
0.619 286.611
0.621 286.584
0.623 286.556
0.625 286.528
0.627 286.499
0.629 286.471
0.631 286.441
