y v
0 0
0.001 0.305212
0.003 0.915372
0.005 1.52553
0.007 2.13543
0.009 2.74534
0.011 3.35498
0.013 3.96463
0.015 4.57402
0.017 5.18342
0.019 5.79255
0.021 6.4017
0.023 7.01058
0.025 7.61948
0.027 8.22812
0.029 8.83677
0.031 9.44517
0.033 10.0536
0.035 10.6617
0.037 11.2699
0.039 11.8778
0.041 12.4857
0.043 13.0934
0.045 13.7011
0.047 14.3086
0.049 14.916
0.051 15.5232
0.053 16.1305
0.055 16.7374
0.057 17.3444
0.059 17.9512
0.061 18.558
0.063 19.1645
0.065 19.7711
0.067 20.3774
0.069 20.9837
0.071 21.5898
0.073 22.1959
0.075 22.8018
0.077 23.4077
0.079 24.0133
0.081 24.619
0.083 25.2244
0.085 25.8299
0.087 26.4351
0.089 27.0404
0.091 27.6454
0.093 28.2505
0.095 28.8553
0.097 29.4602
0.099 30.0648
0.101 30.6694
0.103 31.2738
0.105 31.8783
0.107 32.4825
0.109 33.0868
0.111 33.6908
0.113 34.2948
0.115 34.8986
0.117 35.5025
0.119 36.1061
0.121 36.7098
0.123 37.3133
0.125 37.9168
0.127 38.52
0.129 39.1233
0.131 39.7264
0.133 40.3295
0.135 40.9324
0.137 41.5353
0.139 42.138
0.141 42.7408
0.143 43.3433
0.145 43.9459
0.147 44.5482
0.149 45.1506
0.151 45.7528
0.153 46.3551
0.155 46.957
0.157 47.5591
0.159 48.1609
0.161 48.7628
0.163 49.3645
0.165 49.9662
0.167 50.5677
0.169 51.1693
0.171 51.7706
0.173 52.3721
0.175 52.9732
0.177 53.5745
0.179 54.1755
0.181 54.7766
0.183 55.3774
0.185 55.9784
0.187 56.5791
0.189 57.1799
0.191 57.7804
0.193 58.381
0.195 58.9814
0.197 59.5819
0.199 60.1822
0.201 60.7825
0.203 61.3826
0.205 61.9828
0.207 62.5828
0.209 63.1828
0.211 63.7826
0.213 64.3826
0.215 64.9822
0.217 65.582
0.219 66.1815
0.221 66.7812
0.223 67.3806
0.225 67.9801
0.227 68.5794
0.229 69.1788
0.231 69.7779
0.233 70.3771
0.235 70.9761
0.237 71.5753
0.239 72.1741
0.241 72.7731
0.243 73.3719
0.245 73.9708
0.247 74.5694
0.249 75.1681
0.251 75.7666
